date,Store_ID,Product_ID,Inventory_Level,Units_Sold,Units_Ordered,Price,Discount,Promotion,Competitor_Pricing,Demand
2022-01-06,S004,P0003,554,46,0,130.95,0,0,116.47,44
2022-11-12,S004,P0014,3,3,0,154.09,10,0,149.71,66
2023-11-23,S005,P0017,172,172,148,40.98,15,1,47.86,179
2023-08-07,S003,P0003,172,172,187,116.13,5,0,132.37,205
2022-01-08,S002,P0012,665,63,0,70.27,0,0,83.04,101
2022-07-27,S003,P0019,76,76,165,67.15,5,0,61.94,164
2023-11-04,S004,P0009,455,66,0,104.36,10,1,89.25,82
2022-02-25,S004,P0018,192,111,0,173.21,10,1,157.69,111
2022-01-22,S002,P0008,223,64,0,23.86,10,0,23.45,91
2023-03-25,S003,P0016,129,55,0,86.98,10,0,84.79,70
2023-01-01,S003,P0001,423,90,0,19.06,0,0,16.87,118
2023-11-05,S003,P0012,158,38,0,75.25,10,0,81.24,32
2023-02-15,S005,P0013,470,59,0,59.77,5,0,68.18,51
2022-03-16,S001,P0019,65,65,86,90.35,25,1,104.38,93
2023-12-16,S005,P0007,203,119,249,76.78,15,1,71.88,111
2023-01-21,S004,P0020,168,57,0,114.56,5,0,132.9,52
2022-02-25,S002,P0014,232,63,0,123.29,0,0,140.28,91
2024-01-07,S002,P0014,102,59,0,101.64,10,0,93.49,53
2023-06-28,S004,P0017,148,129,172,113.02,10,1,99.64,163
2022-07-01,S002,P0005,368,39,0,77.66,0,0,75.44,34
2023-03-06,S003,P0005,199,90,0,20.45,5,0,22.36,80
2022-08-18,S004,P0015,382,88,429,98.4,20,1,94.27,132
2022-10-25,S001,P0017,193,58,0,19.27,10,0,21.79,77
2022-06-13,S002,P0005,562,162,661,82.66,25,1,98.74,152
2023-10-31,S001,P0016,646,76,0,41.75,0,0,39.58,105
2022-08-01,S002,P0006,190,75,0,56.34,20,1,59.71,117
2023-12-19,S003,P0003,228,126,0,91.73,10,1,89.41,119
2023-04-19,S001,P0017,80,15,0,13.67,20,1,15.78,20
2023-05-09,S003,P0003,105,33,50,72.79,5,0,68.82,39
2022-11-04,S001,P0014,673,147,0,75.16,5,0,85.33,124
2023-05-27,S005,P0005,451,126,0,15.85,25,1,17.16,187
